number,address0,address1,address2,king,rank,percent,people
102,경기도,화성시,,7,4,1.6%,834378
90,경기도,부천시,,6,6,2.4%,826093
112,경기도,남양주시,,4,24,9.6%,706444
24,서울특별시,송파구,,8,3,1.2%,672089
16,서울특별시,강서구,,5,13,5.2%,587553
48,대구광역시,달서구,,4,24,9.6%,566213
57,인천광역시,서구,,3,42,16.8%,544010
235,경상남도,김해시,,6,6,2.4%,543072
23,서울특별시,강남구,,13,1,0.4%,541915
54,인천광역시,남동구,,5,13,5.2%,531031
11,서울특별시,노원구,,2,70,28.0%,529617
92,경기도,평택시,,4,24,9.6%,522111
55,인천광역시,부평구,,2,70,28.0%,503946
21,서울특별시,관악구,,4,24,9.6%,499431
249,제주특별자치도,제주시,,1,104,41.6%,489734
82,경기도,성남시,분당구,6,6,2.4%,487032
67,대전광역시,서구,,6,6,2.4%,481449
95,경기도,시흥시,,3,42,16.8%,479368
12,서울특별시,은평구,,4,24,9.6%,478029
106,경기도,고양시,덕양구,3,42,16.8%,473322
15,서울특별시,양천구,,6,6,2.4%,458181
25,서울특별시,강동구,,5,13,5.2%,456312
113,경기도,파주시,,2,70,28.0%,455471
109,경기도,의정부시,,6,6,2.4%,454859
101,경기도,김포시,,3,42,16.8%,447038
8,서울특별시,성북구,,4,24,9.6%,442148
88,경기도,용인시,기흥구,2,70,28.0%,440274
46,대구광역시,북구,,3,42,16.8%,437566
63,광주광역시,북구,,3,42,16.8%,432731
22,서울특별시,서초구,,7,4,1.6%,429340
47,대구광역시,수성구,,4,24,9.6%,427436
208,경상북도,구미시,,5,13,5.2%,418007
64,광주광역시,광산구,,4,24,9.6%,407036
52,인천광역시,미추홀구,,1,104,41.6%,406602
17,서울특별시,구로구,,4,24,9.6%,405030
34,부산광역시,강서구,,0,145,58.0%,404459
151,충청남도,천안시,서북구,2,70,28.0%,396335
20,서울특별시,동작구,,3,42,16.8%,395180
7,서울특별시,중랑구,,2,70,28.0%,394982
103,경기도,광주시,,1,104,41.6%,376753
89,경기도,용인시,수지구,3,42,16.8%,374984
14,서울특별시,마포구,,5,13,5.2%,374837
19,서울특별시,영등포구,,4,24,9.6%,372568
53,인천광역시,연수구,,5,13,5.2%,372206
77,경기도,수원시,권선구,2,70,28.0%,370687
79,경기도,수원시,영통구,5,13,5.2%,369618
30,부산광역시,부산진구,,3,42,16.8%,357190
119,강원도,원주시,,2,70,28.0%,351979
68,대전광역시,유성구,,4,24,9.6%,351532
238,경상남도,양산시,,4,24,9.6%,351373
5,서울특별시,광진구,,4,24,9.6%,349800
85,경기도,안산시,상록구,1,104,41.6%,349230
232,경상남도,진주시,,3,42,16.8%,347519
6,서울특별시,동대문구,,2,70,28.0%,345815
75,세종특별자치시,세종시,,0,145,58.0%,345373
43,대구광역시,동구,,3,42,16.8%,342897
166,전라북도,전주시,완산구,3,42,16.8%,338482
10,서울특별시,도봉구,,3,42,16.8%,330149
71,울산광역시,남구,,3,42,16.8%,323192
35,부산광역시,해운대구,,4,24,9.6%,317747
84,경기도,안양시,동안구,3,42,16.8%,317687
167,전라북도,전주시,덕진구,3,42,16.8%,317125
91,경기도,광명시,,2,70,28.0%,314413
154,충청남도,아산시,,0,145,58.0%,313761
13,서울특별시,서대문구,,5,13,5.2%,312869
9,서울특별시,강북구,,2,70,28.0%,312270
86,경기도,안산시,단원구,3,42,16.8%,304817
108,경기도,고양시,일산서구,3,42,16.8%,303555
56,인천광역시,계양구,,2,70,28.0%,300446
61,광주광역시,서구,,2,70,28.0%,299850
107,경기도,고양시,일산동구,3,42,16.8%,299302
4,서울특별시,성동구,,1,104,41.6%,297820
33,부산광역시,북구,,1,104,41.6%,288986
169,전라북도,익산시,,2,70,28.0%,284746
118,강원도,춘천시,,2,70,28.0%,281439
98,경기도,하남시,,2,70,28.0%,281340
182,전라남도,여수시,,1,104,41.6%,281250
183,전라남도,순천시,,1,104,41.6%,280795
76,경기도,수원시,장안구,2,70,28.0%,276317
96,경기도,군포시,,1,104,41.6%,275902
204,경상북도,포항시,북구,2,70,28.0%,272613
31,부산광역시,동래구,,1,104,41.6%,272532
32,부산광역시,남구,,2,70,28.0%,271183
168,전라북도,군산시,,3,42,16.8%,268558
137,충청북도,청주시,흥덕구,5,13,5.2%,264709
213,경상북도,경산시,,4,24,9.6%,263286
227,경상남도,창원시,의창구,0,145,58.0%,262729
150,충청남도,천안시,동남구,2,70,28.0%,258857
49,대구광역시,달성군,,2,70,28.0%,257043
87,경기도,용인시,처인구,0,145,58.0%,255729
205,경상북도,경주시,,2,70,28.0%,254035
237,경상남도,거제시,,3,42,16.8%,247096
83,경기도,안양시,만안구,0,145,58.0%,242105
66,대전광역시,중구,,2,70,28.0%,238955
36,부산광역시,사하구,,1,104,41.6%,236596
80,경기도,성남시,수정구,1,104,41.6%,234702
18,서울특별시,금천구,,4,24,9.6%,232425
203,경상북도,포항시,남구,3,42,16.8%,232216
3,서울특별시,용산구,,3,42,16.8%,229393
181,전라남도,목포시,,1,104,41.6%,228587
94,경기도,오산시,,3,42,16.8%,227749
